Account Number,Named Insured,Loss Location Address,City,State,Zip Code,Total Insured Value,Building Limit,Contents Limit,Construction Type,Year Built,Stories,Occupancy
FL-CHT-200381,Reyes Family Trust,2145 El Jobean Rd,Port Charlotte,FL,33948,387000,310000,77000,Masonry,1998,1,Single Family
FL-CHT-200382,Coastal Holdings LLC,18204 Cochran Blvd,Port Charlotte,FL,33948,452500,365000,87500,Frame,2004,1,Single Family
FL-CHT-200383,Margaret A. Donnelly,3380 Loveland Blvd,Port Charlotte,FL,33980,298000,238000,60000,Masonry,1991,1,Single Family
FL-CHT-200384,Whitaker Properties Inc,1521 Forrest Nelson Blvd,Port Charlotte,FL,33952,341000,272000,69000,Masonry,2001,1,Single Family
FL-CHT-200385,James & Linda Okafor,21257 Gladis Ave,Port Charlotte,FL,33952,276500,221000,55500,Frame,1986,1,Single Family
FL-CHT-200386,Sunrise Rentals LLC,4155 Tamiami Trl,Port Charlotte,FL,33952,1240000,980000,260000,Masonry,2008,2,Commercial
FL-CHT-200387,Patricia Vance,2390 Como St,Port Charlotte,FL,33948,312000,250000,62000,Masonry,1995,1,Single Family
FL-CHT-200388,Hollis Marine Trust,3712 Edgewater Dr,Port Charlotte,FL,33948,524000,420000,104000,Masonry,2006,1,Single Family
FL-CHT-200389,Daniel Brunelle,1840 Quesada Ave,Port Charlotte,FL,33948,289500,231000,58500,Frame,1989,1,Single Family
FL-CHT-200390,Greenleaf Investments,255 Marion Ave,Punta Gorda,FL,33950,675000,540000,135000,Masonry,2012,2,Condominium
FL-CHT-200391,Robert & Susan Iverson,3514 Bal Harbor Blvd,Punta Gorda,FL,33950,889000,710000,179000,Masonry,2015,1,Single Family
FL-CHT-200392,Aqui Esta Holdings,2701 Aqui Esta Dr,Punta Gorda,FL,33950,712000,570000,142000,Masonry,2009,1,Single Family
FL-CHT-200393,Eleanor M. Prescott,417 W Retta Esplanade,Punta Gorda,FL,33950,1085000,865000,220000,Masonry,2011,3,Condominium
FL-CHT-200394,Coral Key Partners,140 Coronado Dr,Punta Gorda,FL,33950,498000,398000,100000,Masonry,2003,1,Single Family
FL-CHT-200395,Thomas Achebe,3023 Rio Villa Dr,Punta Gorda,FL,33950,564000,451000,113000,Masonry,2007,1,Single Family
FL-CHT-200396,Westshore Property Group,1205 Tamiami Trl,Punta Gorda,FL,33950,1560000,1240000,320000,Masonry,2014,2,Commercial
FL-CHT-200397,Nguyen Family LLC,22094 Westchester Blvd,Port Charlotte,FL,33952,305000,244000,61000,Frame,1993,1,Single Family
FL-CHT-200398,Harold & Joan Beckett,18450 Van Nuys Cir,Port Charlotte,FL,33948,331000,265000,66000,Masonry,1997,1,Single Family
FL-CHT-200399,Palmetto Coast Rentals,3899 Conway Blvd,Port Charlotte,FL,33952,287000,229000,58000,Frame,1985,1,Single Family
FL-CHT-200400,Victoria Salcedo,2255 Midway Blvd,Port Charlotte,FL,33948,358500,287000,71500,Masonry,2000,1,Single Family
