PolicyNumber,NamedInsured,Property Address,City,State,Zip,Latitude,Longitude,PolicyEffectiveDate,PolicyExpirationDate,PolicyStatus,LOB,Coverage A,CoverageB_OtherStructures,CoverageC_PersonalProperty,CoverageD_LossOfUse,AOPDeductible,WindHailDeductible,ConstructionType,YearBuilt,NumberOfStories,RoofType,ProtectionClass,TerritoryCode,CrestaZone,AgencyName,UnderwritingCompany,NAICCode,PriorLossCount
HO3-TX-400001,Betty Miller,6612 Sidney Baker St,Kerrville,TX,78028,29.954727,-99.125455,12/01/2024,06/22/2025,In Force,HO3 - Homeowners,185000,18500,101750,37000,2500,1,Masonry,1970,2,Composition Shingle,7,TX-75,US-TX-HillCountry,Perez Insurance Agency,Lone Star Homeowners Group,35791,0
HO3-TX-400002,Lisa Miller,7241 Sidney Baker St,Kerrville,TX,78028,29.954727,-99.123655,06/02/2024,03/08/2025,In Force,HO3 - Homeowners,225000,22500,123750,45000,2500,1,Masonry,1977,1,Composition Shingle,7,TX-84,US-TX-HillCountry,Baker Insurance Agency,Texas Guardian Casualty,24680,0
HO3-TX-400003,Steven Fischer,8253 Front St,Comfort,TX,78013,29.976867,-98.9414,08/05/2024,07/01/2025,In Force,HO3 - Homeowners,650000,65000,357500,130000,1000,1,Stone/Masonry,1994,2,Tile,3,TX-98,US-TX-HillCountry,Brown Insurance Agency,Hill Country Mutual Insurance,13579,0
HO3-TX-400004,Steven Thomas,8561 Water St,Kerrville,TX,78028,30.002967,-99.111172,04/14/2024,06/17/2025,In Force,HO3 - Homeowners,420000,42000,231000,84000,1000,2,Brick Veneer,1996,2,Tile,7,TX-82,US-TX-HillCountry,Miller Insurance Agency,Lone Star Homeowners Group,35791,0
HO3-TX-400005,Betty Gonzalez,7136 Thompson Dr,Kerrville,TX,78028,30.019498,-99.135065,11/10/2024,07/26/2025,In Force,HO3 - Homeowners,560000,56000,308000,112000,1000,2,Brick Veneer,1959,1,Metal,4,TX-86,US-TX-HillCountry,Perez Insurance Agency,Hill Country Mutual Insurance,13579,0
HO3-TX-400006,Linda Young,4728 River Rd,Center Point,TX,78010,30.074922,-99.038317,01/12/2024,09/07/2025,In Force,HO3 - Homeowners,365000,36500,200750,73000,5000,1,Frame,2010,1,Composition Shingle,6,TX-71,US-TX-HillCountry,Young Insurance Agency,Hill Country Mutual Insurance,13579,0
HO3-TX-400007,Joshua Thomas,2319 Francisco Lemos St,Kerrville,TX,78028,29.997308,-99.105868,05/03/2024,12/10/2025,In Force,HO3 - Homeowners,740000,74000,407000,148000,5000,2,Masonry,1989,2,Composition Shingle,3,TX-97,US-TX-HillCountry,Martinez Insurance Agency,Lone Star Homeowners Group,35791,0
HO3-TX-400008,Susan Fischer,6496 Thompson Dr,Kerrville,TX,78028,30.00737,-99.113775,07/19/2024,12/27/2025,In Force,HO3 - Homeowners,650000,65000,357500,130000,5000,2,Masonry,1959,1,Metal,5,TX-98,US-TX-HillCountry,Lopez Insurance Agency,Lone Star Homeowners Group,35791,0
HO3-TX-400009,Kimberly Schmidt,7354 Hancock St,Center Point,TX,78010,30.075283,-99.0367,07/06/2024,05/07/2025,In Force,HO3 - Homeowners,420000,42000,231000,84000,2500,1,Brick Veneer,2018,1,Metal,7,TX-93,US-TX-HillCountry,Zimmer Insurance Agency,Lone Star Homeowners Group,35791,0
HO3-TX-400010,Maria Martinez,6975 Sidney Baker St,Kerrville,TX,78028,30.067198,-99.188425,03/04/2024,12/22/2025,In Force,HO3 - Homeowners,265000,26500,145750,53000,2500,2,Brick Veneer,1981,1,Metal,4,TX-85,US-TX-HillCountry,Braun Insurance Agency,Hill Country Mutual Insurance,13579,0
HO3-TX-400011,Charles Young,2772 Johnson Creek Rd,Ingram,TX,78025,30.07088,-99.26128,12/17/2024,01/04/2025,In Force,HO3 - Homeowners,420000,42000,231000,84000,2500,1,Frame,1983,1,Tile,7,TX-89,US-TX-HillCountry,Hill Insurance Agency,Lone Star Homeowners Group,35791,0
HO3-TX-400012,Steven Lopez,5040 Sidney Baker St,Kerrville,TX,78028,30.055879,-99.167674,05/17/2024,04/25/2025,In Force,HO3 - Homeowners,485000,48500,266750,97000,1000,1,Stone/Masonry,1961,2,Composition Shingle,4,TX-80,US-TX-HillCountry,Smith Insurance Agency,Hill Country Mutual Insurance,13579,0
HO3-TX-400013,Andrew Young,5323 Guadalupe St,Kerrville,TX,78028,30.003058,-99.112158,02/08/2024,02/14/2025,In Force,HO3 - Homeowners,560000,56000,308000,112000,2500,1,Brick Veneer,2003,2,Metal,5,TX-97,US-TX-HillCountry,Martinez Insurance Agency,Texas Guardian Casualty,24680,2
