Claim Number,Insured Name,Loss Address,City,State,Latitude,Longitude,Dwelling Coverage,Carrier
PA-CLM-0001,Lismore Sawmill Co,"Lot 6, Wyrallah Rd",South Lismore,NSW,-28.8475,153.2875,860000,QBE Insurance
PA-CLM-0002,Woodburn Rural Supplies,"Lot 12, Bagotville Rd",Woodburn,NSW,-29.01625,153.3625,310000,Suncorp
PA-CLM-0003,Coraki District Co-op,"Lot 3, Coraki Bridge Rd",Coraki,NSW,-29.01625,153.2875,540000,IAG
PA-CLM-0004,Broadwater Cane Growers,"Lot 9, River St",Broadwater,NSW,-28.94875,153.3625,295000,QBE Insurance
PA-CLM-0005,Woodburn Cold Stores,"Lot 21, Pacific Hwy",Woodburn,NSW,-28.9825,153.3625,475000,Allianz
PA-CLM-0006,T. Nguyen Residence,"Lot 4, Coraki North Rd",Coraki,NSW,-29.01625,153.325,165000,Suncorp
PA-CLM-0007,Bungawalbin Farmstead,"Lot 17, Bungawalbin Rd",Bungawalbin,NSW,-28.94875,153.2875,225000,IAG
PA-CLM-0008,Coraki Caravan Park,"Lot 1, Richmond Tce",Coraki,NSW,-29.05,153.2875,390000,Allianz
PA-CLM-0009,Broadwater Sugar Depot,"Lot 8, Mill Rd",Broadwater,NSW,-28.9825,153.4,610000,QBE Insurance
PA-CLM-0010,J. Hartley Residence,"Lot 14, River Rd",Coraki,NSW,-29.05,153.325,140000,Suncorp
PA-CLM-0011,Woodburn Marina,"Lot 2, Richmond River Esplanade",Woodburn,NSW,-29.05,153.3625,355000,IAG
PA-CLM-0012,Coraki Dairy Farm,"Lot 26, Codrington Rd",Coraki,NSW,-29.05,153.25,420000,Allianz
PA-CLM-0013,Bungawalbin Timber Yard,"Lot 5, Tuckombil Rd",Bungawalbin,NSW,-28.915,153.2875,265000,QBE Insurance
PA-CLM-0014,N. Patel Residence,"Lot 19, Wilson St",Coraki,NSW,-29.01625,153.25,155000,Suncorp
PA-CLM-0015,Lismore CBD Retail Strip,"42 Molesworth St",Lismore,NSW,-28.81375,153.2875,980000,IAG
PA-CLM-0016,Tuncester Highland Farm,"Lot 33, Tuncester Rd",Tuncester,NSW,-28.915,153.25,310000,Allianz
